Županije;County of;Towns/municipalities";Total: 2011;Men;Women;0-14;15+;Children 0-14;Employed;Unemployed;Inactive;Unknown;Children 0-14;Basic school and less;Secondary education;Higher education;Unknown;Total:2021;Men:2021;Women:2021;0-14:2021;15+:2021
Koprivničko-križevačka;Koprivnica-Križevci;Kalinovac;1.597;764;833;258;1.339;258;694;109;536;-;258;639;589;111;-;1.297;649;648;183;1.114
Koprivničko-križevačka;Koprivnica-Križevci;Kalnik;1.351;676;675;195;1.156;195;464;76;615;1;195;721;371;64;-;1.154;566;588;157;997
Koprivničko-križevačka;Koprivnica-Križevci;Kloštar Podravski;3.306;1.621;1.685;597;2.709;597;991;300;1.418;-;597;1.668;902;135;4;2.749;1.355;1.394;442;2.307
Koprivničko-križevačka;Koprivnica-Križevci;Koprivnica;30.854;14.609;16.245;4.688;26.166;4.688;11.850;2.006;12.306;4;4.688;7.779;13.475;4.901;11;28.580;13.520;15.060;4.033;24.547
Koprivničko-križevačka;Koprivnica-Križevci;Koprivnički Bregi;2.381;1.163;1.218;355;2.026;355;811;136;1.079;-;355;1.026;888;112;-;1.968;990;978;250;1.718
Koprivničko-križevačka;Koprivnica-Križevci;Koprivnički Ivanec;2.121;1.046;1.075;291;1.830;291;743;146;941;-;291;967;755;108;-;1.798;870;928;251;1.547
Koprivničko-križevačka;Koprivnica-Križevci;Križevci;21.122;10.270;10.852;3.258;17.864;3.258;7.645;1.200;9.009;10;3.258;7.286;8.249;2.292;37;18.949;9.202;9.747;2.665;16.284
Koprivničko-križevačka;Koprivnica-Križevci;Legrad;2.241;1.101;1.140;271;1.970;271;1.244;83;642;1;271;1.166;710;92;2;1.916;955;961;229;1.687
Koprivničko-križevačka;Koprivnica-Križevci;Molve;2.189;1.056;1.133;417;1.772;417;724;132;916;-;417;1.153;529;89;1;1.767;886;881;271;1.496
Koprivničko-križevačka;Koprivnica-Križevci;Novigrad Podravski;2.872;1.396;1.476;452;2.420;452;965;110;1.344;1;452;1.181;1.061;170;8;2.300;1.113;1.187;317;1.983
Koprivničko-križevačka;Koprivnica-Križevci;Novo Virje;1.216;583;633;209;1.007;209;458;63;486;-;209;703;272;32;-;1.026;518;508;160;866
